Chord; Position; Fingering; Max Fingers Required; Number of Barres; Fret Range; Highest Ring Finger; Highest Pinky Finger
Dadd9; ['x', '5', '7', '9', '7', '5']; ['0', '1', '2', '4', '3', '1']; 2; 1; 4; 2; 3
Dadd9; ['10', 'x', 'x', '11', '10', '12']; ['1', '0', '0', '3', '2', '4']; 2; 0; 2; 3; 1
Dmadd9; ['x', 'x', '12', '10', '10', '12']; ['0', '0', '3', '1', '1', '4']; 2; 1; 2; 4; 1
D6; ['x', 'x', '0', '2', '0', '2']; ['0', '0', '0', '2', '0', '3']; 2; 0; 0; 1; 0
D6; ['x', 'x', '0', '2', '0', '2']; ['0', '0', '0', '1', '0', '2']; 2; 0; 0; 0; 0
D6; ['x', 'x', '0', '2', '0', '2']; ['0', '0', '0', '3', '0', '4']; 2; 0; 0; 3; 1
D6; ['x', '5', '7', '7', '7', '7']; ['0', '1', '2', '3', '4', '4']; 3; 1; 2; 3; 2
D6; ['x', '5', '7', '7', '7', '7']; ['0', '1', '3', '3', '3', '3']; 1; 1; 2; 4; 0
D6; ['0', '0', '12', '11', '12', '10']; ['0', '0', '3', '2', '4', '1']; 2; 0; 2; 4; 2
D6; ['x', 'x', '12', '14', '12', '14']; ['0', '0', '1', '3', '1', '4']; 2; 1; 2; 3; 1
D6; ['x', 'x', '12', '14', '12', '14']; ['0', '0', '1', '2', '1', '3']; 2; 1; 2; 1; 0
D6; ['10', 'x', '9', '11', '10', 'x']; ['2', '0', '1', '4', '3', '0']; 2; 0; 2; 2; 3
Dm6; ['x', 'x', '0', '2', '0', '1']; ['0', '0', '0', '2', '0', '1']; 1; 0; 1; 0; 0
Dm6; ['10', '12', '12', '10', '12', '10']; ['1', '2', '3', '1', '4', '1']; 3; 1; 2; 4; 2
Dm6; ['x', '5', '3', '4', '3', 'x']; ['0', '4', '1', '2', '1', '0']; 1; 1; 2; 0; 5
Dm6; ['x', '5', '3', '4', '3', 'x']; ['0', '4', '1', '3', '2', '0']; 2; 0; 2; 3; 5
Dm6; ['x', 'x', '12', '14', '12', '13']; ['0', '0', '1', '3', '1', '2']; 1; 1; 2; 3; 0
Dm6; ['x', '5', '7', '4', '6', 'x']; ['0', '2', '4', '1', '3', '0']; 1; 0; 3; 2; 4
Dm6; ['x', '5', '3', '4', '3', '5']; ['0', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
Dm6; ['10', 'x', '9', '10', '10', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 1; 3; 2
Dm6; ['x', '5', 'x', '4', '6', '5']; ['0', '2', '0', '1', '4', '3']; 2; 0; 2; 1; 2
Dmb6; ['x', '5', '3', '3', '3', '5']; ['0', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Dmb6; ['10', 'x', '8', '10', '10', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 2; 3; 2
D9; ['x', 'x', '0', '2', '1', '0']; ['0', '0', '0', '2', '1', '0']; 1; 0; 1; 0; 0
D9; ['x', 'x', '0', '2', '1', '0']; ['0', '0', '0', '3', '2', '0']; 1; 0; 1; 3; 0
D9; ['x', 'x', '0', '2', '1', '0']; ['0', '0', '0', '4', '3', '0']; 1; 0; 1; 2; 3
D9; ['x', '5', '4', '5', '5', 'x']; ['0', '2', '1', '3', '4', '0']; 3; 0; 1; 3; 2
D9; ['10', '12', '10', '11', '10', '12']; ['1', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
D9; ['10', 'x', '10', '9', '10', '10']; ['2', '0', '3', '1', '4', '4']; 3; 1; 1; 4; 2
D9; ['x', '5', '4', '5', '5', '5']; ['0', '2', '1', '3', '3', '3']; 2; 1; 1; 3; 0
D9; ['10', 'x', '10', '9', '7', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 3; 6; 4
D9; ['x', 'x', '12', '11', '13', '12']; ['0', '0', '2', '1', '4', '3']; 2; 0; 2; 1; 2
D9; ['10', '9', '10', '9', '10', 'x']; ['2', '1', '3', '1', '4', '0']; 3; 1; 1; 4; 2
D11; ['x', '5', '5', '5', '5', '5']; ['0', '1', '1', '1', '1', '1']; 1; 1; 0; 0; 0
D11; ['10', 'x', '10', '9', '8', '8']; ['3', '0', '4', '2', '1', '1']; 2; 1; 2; 6; 4
D11; ['x', 'x', '0', '5', '5', '3']; ['0', '0', '0', '3', '4', '1']; 2; 0; 2; 3; 2
D11; ['x', 'x', '0', '5', '5', '3']; ['0', '0', '0', '2', '3', '1']; 2; 0; 2; 2; 0
D11; ['x', '5', '4', '5', '3', '3']; ['0', '3', '2', '4', '1', '1']; 2; 1; 2; 5; 3
D11; ['x', '5', '5', '5', '7', '5']; ['0', '1', '1', '1', '3', '1']; 1; 1; 2; 2; 0
D11; ['x', 'x', '12', '12', '13', '14']; ['0', '0', '1', '1', '2', '3']; 1; 1; 2; 1; 0
D13; ['10', 'x', '10', '9', '7', '7']; ['3', '0', '4', '2', '1', '1']; 2; 1; 3; 6; 4
D13; ['x', '5', '4', '5', '5', '7']; ['0', '2', '1', '3', '3', '4']; 2; 1; 3; 3; 1
D13; ['10', 'x', '10', '11', '12', '12']; ['1', '0', '1', '1', '2', '3']; 2; 1; 2; 1; 0
D13; ['10', '12', '10', '11', '12', '10']; ['1', '3', '1', '2', '4', '1']; 2; 1; 2; 5; 2
D9sus4; ['x', '5', '5', '5', '5', '5']; ['0', '1', '1', '1', '1', '1']; 1; 1; 0; 0; 0
D9sus4; ['10', 'x', '10', '9', '8', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 2; 6; 4
D9sus4; ['10', 'x', '10', '9', '8', '8']; ['3', '0', '4', '2', '1', '1']; 2; 1; 2; 6; 4
D13sus4; ['x', '5', '5', '5', '5', '7']; ['0', '1', '1', '1', '1', '3']; 1; 1; 2; 1; 0
D13sus4; ['10', 'x', '10', '12', '12', '12']; ['1', '0', '2', '4', '4', '4']; 2; 1; 2; 0; 3
Dm9; ['10', '12', '10', '10', '10', '12']; ['1', '2', '1', '1', '1', '3']; 2; 1; 2; 1; 0
Dm9; ['10', '12', '10', '10', '10', '12']; ['1', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Dm9; ['x', '5', '3', '5', '5', 'x']; ['0', '2', '1', '3', '4', '0']; 3; 0; 2; 3; 2
Dm9; ['x', '5', '3', '5', '5', '5']; ['0', '2', '1', '3', '3', '3']; 2; 1; 2; 3; 0
Dm9; ['x', 'x', '12', '10', '13', '12']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
Dm9; ['10', 'x', '10', '10', '10', '12']; ['2', '0', '3', '3', '3', '4']; 2; 1; 2; 4; 1
Dm11; ['x', '5', '3', '5', '3', '3']; ['0', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
Dm11; ['x', '5', '5', '5', '6', '5']; ['0', '1', '1', '1', '2', '1']; 1; 1; 1; 0; 0
Dm11; ['10', 'x', '10', '10', '8', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 2; 4; 3
Dm11; ['x', 'x', '12', '12', '13', '13']; ['0', '0', '1', '1', '2', '2']; 1; 2; 1; 0; 0
Dm11; ['x', '5', 'x', '5', '6', '3']; ['0', '2', '0', '3', '4', '1']; 2; 0; 3; 3; 2
Dm13; ['x', '5', 'x', '5', '6', '7']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
Dm13; ['10', '12', '10', '10', '12', '10']; ['1', '3', '1', '1', '4', '1']; 2; 1; 2; 5; 2
Dm13; ['10', 'x', '10', '10', '12', '12']; ['2', '0', '3', '3', '4', '4']; 2; 2; 2; 4; 2
Dm13; ['10', 'x', '10', '10', '12', '12']; ['1', '0', '2', '3', '4', '4']; 3; 1; 2; 3; 2
Dm13; ['x', '5', '7', '5', '6', '7']; ['0', '1', '3', '1', '2', '4']; 2; 1; 2; 4; 1
Dm13; ['x', '5', '3', '5', '5', '7']; ['0', '2', '1', '3', '3', '4']; 2; 1; 4; 3; 1
DmMaj9; ['x', '5', '3', '6', '5', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 3; 2; 3
DmMaj9; ['10', '12', '11', '10', '10', '12']; ['1', '3', '2', '1', '1', '4']; 2; 1; 2; 5; 1
DMaj9; ['x', '5', '4', '6', '5', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 2; 2; 3
DMaj9; ['x', 'x', '12', '11', '14', '12']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
DMaj9; ['x', '5', '2', '2', '2', '2']; ['0', '3', '1', '1', '1', '1']; 1; 1; 3; 5; 0
DMaj9; ['10', '9', '11', '9', '10', '9']; ['2', '1', '4', '1', '3', '1']; 2; 1; 2; 2; 4
DMaj9; ['10', 'x', '11', '9', '10', 'x']; ['2', '0', '4', '1', '3', '0']; 2; 0; 2; 2; 4
DMaj13; ['x', '5', 'x', '6', '7', '7']; ['0', '1', '0', '2', '4', '4']; 1; 1; 2; 0; 2
DMaj13; ['x', '5', 'x', '6', '7', '7']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
DMaj13; ['10', '9', '9', '9', '10', '9']; ['2', '1', '1', '1', '3', '1']; 2; 1; 1; 2; 0
DMaj13; ['10', 'x', '11', '11', '12', '12']; ['1', '0', '2', '3', '4', '4']; 2; 1; 2; 3; 2
D+9; ['x', '5', '4', '5', '5', '6']; ['0', '2', '1', '3', '3', '4']; 2; 1; 2; 3; 1
D+9; ['10', 'x', '10', '11', '11', '12']; ['1', '0', '2', '3', '3', '4']; 2; 1; 2; 3; 1
DMaj7#11; ['x', '5', '6', '6', '7', '5']; ['0', '1', '2', '3', '4', '1']; 2; 1; 2; 3; 2
DMaj7#11; ['10', 'x', '11', '11', '9', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
DMaj7#11; ['x', 'x', '12', '13', '14', '14']; ['0', '0', '1', '2', '3', '3']; 1; 1; 2; 2; 0
DMaj7#11; ['x', 'x', '12', '13', '14', '14']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
D9b5; ['x', '5', '4', '5', '5', '4']; ['0', '2', '1', '3', '4', '1']; 3; 1; 1; 3; 2
D9b5; ['10', '9', '10', '9', '9', 'x']; ['2', '1', '3', '1', '1', '0']; 2; 1; 1; 4; 0
D7b9; ['x', '5', '4', '5', '4', 'x']; ['0', '2', '1', '3', '1', '0']; 2; 1; 1; 3; 0
D7b9; ['x', '5', '4', '5', '4', 'x']; ['0', '3', '1', '4', '2', '0']; 2; 0; 1; 5; 3
D7b9; ['10', '12', '10', '11', '10', '11']; ['1', '4', '1', '2', '1', '3']; 2; 1; 2; 1; 5
D7b9; ['x', '5', '4', '5', '4', '5']; ['0', '2', '1', '3', '1', '4']; 3; 1; 1; 3; 1
D7b9; ['x', 'x', '12', '11', '13', '11']; ['0', '0', '2', '1', '3', '1']; 1; 1; 2; 2; 0
D7#9; ['x', '5', '4', '5', '6', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 2; 3; 2
D7#9; ['10', '12', '10', '11', '10', '13']; ['1', '3', '1', '2', '1', '4']; 1; 1; 3; 5; 1
D7#9; ['x', 'x', '12', '11', '13', '13']; ['0', '0', '2', '1', '3', '4']; 2; 0; 2; 2; 1
D7b5#9; ['x', '5', '4', '5', '6', '4']; ['0', '2', '1', '3', '4', '1']; 2; 1; 2; 3; 2
D7#11; ['10', '11', '10', '11', '10', '10']; ['1', '2', '1', '3', '1', '1']; 2; 1; 1; 3; 0
D7b5; ['x', '5', '6', '5', '7', 'x']; ['0', '1', '2', '1', '4', '0']; 1; 1; 2; 0; 2
D7b5; ['10', 'x', '10', '11', '9', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
D7b5; ['x', 'x', '12', '13', '13', '14']; ['0', '0', '1', '2', '2', '3']; 1; 1; 2; 1; 0
D7b5; ['x', 'x', '12', '13', '13', '14']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
D7b5; ['x', '5', '6', '5', '7', '8']; ['0', '1', '2', '1', '3', '4']; 1; 1; 3; 2; 1
Dm9b5; ['10', '11', '10', '10', '13', '12']; ['1', '2', '1', '1', '4', '3']; 1; 1; 3; 1; 2
D+7b9; ['x', '5', '4', '5', '4', '6']; ['0', '2', '1', '3', '1', '4']; 2; 1; 2; 3; 1
D+7b9; ['10', 'x', '10', '11', '11', '11']; ['1', '0', '2', '3', '3', '3']; 2; 1; 1; 3; 0
D+7#9; ['x', '5', '4', '5', '6', '6']; ['0', '2', '1', '3', '4', '4']; 2; 1; 2; 3; 2
D+7#9; ['10', 'x', '10', '11', '11', '13']; ['1', '0', '2', '3', '3', '4']; 2; 1; 3; 3; 1
E; ['0', '2', '2', '1', '0', '0']; ['0', '2', '3', '1', '0', '0']; 2; 0; 1; 4; 0
E; ['x', '7', '9', '9', '9', '7']; ['0', '1', '2', '3', '4', '1']; 3; 1; 2; 3; 2
E; ['x', '7', '9', '9', '9', '7']; ['0', '1', '3', '3', '3', '1']; 1; 2; 2; 4; 0
E; ['x', '7', '6', '4', '5', '4']; ['0', '4', '3', '1', '2', '1']; 1; 1; 3; 4; 5
E; ['0', 'x', '2', '4', '5', '4']; ['0', '0', '1', '2', '4', '3']; 2; 0; 3; 1; 2
E; ['12', '14', '14', '13', '12', '12']; ['1', '3', '4', '2', '1', '1']; 2; 1; 2; 5; 4
E; ['12', '11', '9', '9', '9', '12']; ['3', '2', '1', '1', '1', '4']; 2; 1; 3; 6; 1
E; ['x', 'x', '2', '4', '5', '4']; ['0', '0', '1', '2', '4', '3']; 2; 0; 3; 1; 2
Em; ['0', '2', '2', '0', '0', '0']; ['0', '2', '3', '0', '0', '0']; 2; 0; 0; 4; 0
Em; ['0', '2', '2', '0', '0', '0']; ['0', '1', '2', '0', '0', '0']; 2; 0; 0; 0; 0
Em; ['0', '2', '2', '0', '0', '0']; ['0', '3', '4', '0', '0', '0']; 2; 0; 0; 5; 4
Em; ['x', '7', '9', '9', '8', '7']; ['0', '1', '3', '4', '2', '1']; 2; 1; 2; 4; 3
Em; ['0', '10', '9', '0', '8', '0']; ['0', '3', '2', '0', '1', '0']; 1; 0; 2; 5; 0
Em; ['0', '10', '9', '0', '8', '0']; ['0', '4', '3', '0', '2', '0']; 1; 0; 2; 4; 5
Em; ['0', 'x', '2', '4', '5', '3']; ['0', '0', '1', '3', '4', '2']; 1; 0; 3; 3; 2
Em; ['12', '14', '14', '12', '12', '12']; ['1', '3', '4', '1', '1', '1']; 2; 1; 2; 5; 4
Em; ['x', 'x', '14', '12', '12', '12']; ['0', '0', '3', '1', '1', '1']; 1; 1; 2; 4; 0
Em; ['x', 'x', '2', '4', '5', '3']; ['0', '0', '1', '3', '4', '2']; 1; 0; 3; 3; 2
E5; ['0', '2', '2', 'x', 'x', 'x']; ['0', '1', '2', '0', '0', '0']; 2; 0; 0; 0; 0
E5; ['0', '2', '2', 'x', 'x', 'x']; ['0', '2', '3', '0', '0', '0']; 2; 0; 0; 4; 0
E5; ['0', '2', '2', 'x', 'x', 'x']; ['0', '3', '4', '0', '0', '0']; 2; 0; 0; 5; 4
E5; ['x', '7', '9', '9', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 2; 0; 2; 4; 3
E5; ['x', '7', '9', '9', 'x', 'x']; ['0', '1', '2', '3', '0', '0']; 2; 0; 2; 3; 0
E5; ['x', '7', '9', '9', 'x', 'x']; ['0', '1', '4', '4', '0', '0']; 1; 1; 2; 0; 4
E5; ['x', '7', '9', '9', 'x', 'x']; ['0', '1', '3', '3', '0', '0']; 1; 1; 2; 4; 0
E5; ['12', '14', '14', 'x', 'x', 'x']; ['1', '3', '4', '0', '0', '0']; 2; 0; 2; 5; 4
E5; ['x', 'x', 'x', '9', '12', '12']; ['0', '0', '0', '1', '4', '4']; 1; 1; 3; 0; 2
E5; ['x', 'x', '2', '4', '5', 'x']; ['0', '0', '1', '3', '4', '0']; 1; 0; 3; 3; 2
Esus2; ['0', '2', '2', '4', '5', '2']; ['0', '1', '1', '3', '4', '1']; 1; 1; 3; 3; 2
Esus2; ['0', '2', '2', '4', '5', '2']; ['0', '1', '1', '2', '3', '1']; 1; 1; 3; 2; 0
Esus2; ['0', '7', '4', '4', '7', '0']; ['0', '3', '1', '2', '4', '0']; 2; 0; 3; 5; 2
Esus2; ['0', '7', '9', '9', '7', '7']; ['0', '1', '3', '4', '1', '1']; 2; 1; 2; 4; 3
Esus2; ['x', '7', '9', '9', '7', '7']; ['0', '1', '3', '4', '1', '1']; 2; 1; 2; 4; 3
Esus2; ['x', '7', '9', '11', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 1; 0; 4; 4; 3
Esus2; ['x', 'x', '14', '11', '12', '14']; ['0', '0', '3', '1', '2', '4']; 2; 0; 3; 4; 1
Esus2; ['x', 'x', '2', '4', '5', '2']; ['0', '0', '1', '3', '4', '1']; 1; 1; 3; 3; 2
Esus4; ['0', '2', '2', '2', '0', '0']; ['0', '2', '3', '4', '0', '0']; 3; 0; 0; 4; 3
Esus4; ['0', '2', '2', '2', '0', '0']; ['0', '1', '2', '3', '0', '0']; 3; 0; 0; 3; 0
Esus4; ['x', '7', '9', '9', '10', '7']; ['0', '1', '2', '3', '4', '1']; 2; 1; 3; 3; 2
Esus4; ['0', '0', '2', '2', '0', '0']; ['0', '0', '1', '2', '0', '0']; 2; 0; 0; 0; 0
Esus4; ['0', '0', '2', '2', '0', '0']; ['0', '0', '2', '3', '0', '0']; 2; 0; 0; 3; 0
Esus4; ['0', '0', '2', '2', '0', '0']; ['0', '0', '3', '4', '0', '0']; 2; 0; 0; 4; 3
Esus4; ['0', '0', '2', '4', '0', '0']; ['0', '0', '1', '2', '0', '0']; 1; 0; 2; 0; 0
Esus4; ['0', '0', '2', '4', '0', '0']; ['0', '0', '1', '3', '0', '0']; 1; 0; 2; 3; 0
Esus4; ['0', '0', '2', '4', '0', '0']; ['0', '0', '2', '4', '0', '0']; 1; 0; 2; 0; 3
Esus4; ['x', 'x', '2', '4', '5', '5']; ['0', '0', '1', '2', '3', '4']; 2; 0; 3; 2; 1
Esus4; ['x', 'x', '2', '4', '5', '5']; ['0', '0', '1', '3', '4', '4']; 1; 1; 3; 3; 2
Esus4; ['12', '14', '14', '14', '12', '12']; ['1', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
Esus4; ['x', 'x', '14', '14', '12', '12']; ['0', '0', '3', '4', '1', '1']; 2; 1; 2; 4; 3
E+; ['x', '7', '6', '5', '5', 'x']; ['0', '4', '3', '1', '2', '0']; 2; 0; 2; 4; 5
E+; ['x', 'x', '14', '13', '13', '12']; ['0', '0', '4', '2', '3', '1']; 2; 0; 2; 2; 4
E+; ['12', '11', '10', '9', 'x', 'x']; ['4', '3', '2', '1', '0', '0']; 1; 0; 3; 5; 6
E+; ['12', '15', '14', '13', 'x', 'x']; ['1', '4', '3', '2', '0', '0']; 1; 0; 3; 4; 5
E+; ['x', '7', 'x', '9', '9', '8']; ['0', '1', '0', '3', '4', '2']; 2; 0; 2; 3; 2
E°; ['x', '7', '8', '9', '8', 'x']; ['0', '1', '2', '4', '3', '0']; 2; 0; 2; 2; 3
E°; ['12', 'x', '14', '12', '11', 'x']; ['2', '0', '4', '3', '1', '0']; 2; 0; 3; 3; 4
E°; ['12', '13', '14', '12', 'x', 'x']; ['1', '3', '4', '2', '0', '0']; 2; 0; 2; 5; 4
E7; ['0', '2', '0', '1', '0', '0']; ['0', '2', '0', '1', '0', '0']; 1; 0; 1; 0; 0
E7; ['0', '2', '0', '1', '0', '0']; ['0', '3', '0', '1', '0', '0']; 1; 0; 1; 5; 0
E7; ['0', '2', '2', '1', '3', '0']; ['0', '2', '3', '1', '4', '0']; 2; 0; 2; 4; 2
E7; ['x', '7', '9', '7', '9', '7']; ['0', '1', '3', '1', '4', '1']; 2; 1; 2; 4; 2
E7; ['x', '7', '9', '7', '9', '7']; ['0', '1', '2', '1', '3', '1']; 2; 1; 2; 2; 0
E7; ['0', '2', '0', '1', '3', '0']; ['0', '2', '0', '1', '4', '0']; 1; 0; 2; 0; 2
E7; ['x', 'x', '2', '4', '3', '4']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
E7; ['x', '7', '6', '7', '5', 'x']; ['0', '3', '2', '4', '1', '0']; 2; 0; 2; 5; 3
E7; ['12', '14', '12', '13', '12', '12']; ['1', '3', '1', '2', '1', '1']; 1; 1; 2; 5; 0
E7; ['12', 'x', '12', '13', '12', 'x']; ['1', '0', '2', '4', '3', '0']; 3; 0; 1; 2; 3
E7sus4; ['0', '2', '0', '2', '0', '0']; ['0', '1', '0', '2', '0', '0']; 2; 0; 0; 0; 0
E7sus4; ['0', '2', '0', '2', '0', '0']; ['0', '1', '0', '3', '0', '0']; 2; 0; 0; 3; 0
E7sus4; ['0', '2', '0', '2', '0', '0']; ['0', '2', '0', '3', '0', '0']; 2; 0; 0; 3; 0
E7sus4; ['x', '7', '9', '7', '10', '7']; ['0', '1', '3', '1', '4', '1']; 1; 1; 3; 4; 2
E7sus4; ['x', '7', '9', '7', '10', '7']; ['0', '1', '2', '1', '3', '1']; 1; 1; 3; 2; 0
E7sus4; ['x', '7', '7', '7', '5', '5']; ['0', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
E7sus4; ['12', '14', '12', '14', '12', '12']; ['1', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
E7sus4; ['12', '14', '12', '14', '12', '12']; ['1', '2', '1', '3', '1', '1']; 2; 1; 2; 3; 0
E7sus4; ['x', 'x', '2', '4', '3', '5']; ['0', '0', '1', '3', '2', '4']; 1; 0; 3; 3; 1
Em7; ['0', '2', '2', '0', '3', '0']; ['0', '1', '2', '0', '3', '0']; 2; 0; 1; 2; 0
Em7; ['0', '2', '2', '0', '3', '0']; ['0', '2', '3', '0', '4', '0']; 2; 0; 1; 4; 2
Em7; ['0', '2', '2', '0', '3', '0']; ['0', '1', '2', '0', '4', '0']; 2; 0; 1; 0; 2
Em7; ['x', '7', '9', '7', '8', '7']; ['0', '1', '3', '1', '2', '1']; 1; 1; 2; 4; 0
Em7; ['x', '7', '9', '7', '8', '7']; ['0', '1', '4', '1', '2', '1']; 1; 1; 2; 0; 4
Em7; ['0', '2', '2', '0', '3', '3']; ['0', '1', '2', '0', '3', '4']; 2; 0; 1; 2; 1
Em7; ['12', 'x', '12', '12', '12', 'x']; ['1', '0', '2', '3', '4', '0']; 4; 0; 0; 3; 2
Em7; ['12', 'x', '12', '12', '12', 'x']; ['1', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Em7; ['12', 'x', '12', '12', '12', 'x']; ['2', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Em7; ['x', '7', '5', '7', '8', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 3; 3; 2
Em7; ['12', '14', '14', '12', '15', '12']; ['1', '2', '3', '1', '4', '1']; 2; 1; 3; 4; 2
Em7; ['12', '14', '12', '12', '12', '12']; ['1', '3', '1', '1', '1', '1']; 1; 1; 2; 5; 0
Em7; ['x', '7', '5', '7', '5', 'x']; ['0', '3', '1', '4', '1', '0']; 2; 1; 2; 5; 3
Em7; ['x', 'x', '2', '4', '3', '3']; ['0', '0', '1', '4', '2', '3']; 2; 0; 2; 1; 3
EMaj7; ['0', '2', '1', '1', '0', 'x']; ['0', '3', '1', '2', '0', '0']; 2; 0; 1; 5; 0
EMaj7; ['x', 'x', '2', '4', '4', '4']; ['0', '0', '1', '3', '3', '3']; 1; 1; 2; 3; 0
EMaj7; ['x', 'x', '2', '4', '4', '4']; ['0', '0', '1', '2', '3', '4']; 3; 0; 2; 2; 1
EMaj7; ['x', '7', '9', '8', '9', '7']; ['0', '1', '3', '2', '4', '1']; 2; 1; 2; 4; 2
EMaj7; ['x', '7', '6', '4', '4', 'x']; ['0', '4', '3', '1', '2', '0']; 2; 0; 3; 4; 5
EMaj7; ['x', 'x', '14', '13', '12', '11']; ['0', '0', '4', '3', '2', '1']; 1; 0; 3; 3; 4
EMaj7; ['12', 'x', '13', '13', '12', 'x']; ['1', '0', '3', '4', '2', '0']; 2; 0; 1; 4; 3
EMaj7; ['12', '14', '13', '13', '12', '12']; ['1', '4', '2', '3', '1', '1']; 2; 1; 2; 3; 5
Em7b5; ['x', '7', '8', '7', '8', 'x']; ['0', '1', '3', '2', '4', '0']; 2; 0; 1; 4; 2
Em7b5; ['x', '7', '8', '7', '8', 'x']; ['0', '2', '3', '1', '4', '0']; 2; 0; 1; 4; 2
Em7b5; ['x', 'x', '2', '3', '3', '3']; ['0', '0', '1', '2', '3', '4']; 3; 0; 1; 2; 1
Em7b5; ['x', 'x', '2', '3', '3', '3']; ['0', '0', '1', '3', '3', '3']; 1; 1; 1; 3; 0
Em7b5; ['x', 'x', '2', '3', '3', '3']; ['0', '0', '2', '3', '3', '3']; 1; 1; 1; 3; 0
Em7b5; ['0', '1', '2', '3', '3', '3']; ['0', '1', '2', '3', '4', '4']; 2; 1; 2; 3; 2
Em7b5; ['12', 'x', '12', '12', '11', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 1; 4; 3
Em7b5; ['12', '13', '14', '15', '15', '15']; ['1', '2', '3', '4', '4', '4']; 1; 1; 3; 4; 3
Em7b5; ['x', '7', 'x', '7', '8', '6']; ['0', '2', '0', '3', '4', '1']; 2; 0; 2; 3; 2
Em7b5; ['12', '13', '12', '12', '15', '12']; ['1', '2', '1', '1', '4', '1']; 1; 1; 3; 0; 2
E°7; ['0', '1', '2', '0', '2', '0']; ['0', '1', '2', '0', '3', '0']; 2; 0; 1; 2; 0
E°7; ['0', '1', '2', '0', '2', '0']; ['0', '1', '2', '0', '4', '0']; 2; 0; 1; 0; 2
E°7; ['0', '1', '2', '0', '2', '0']; ['0', '2', '3', '0', '4', '0']; 2; 0; 1; 4; 2
E°7; ['0', '7', '8', '6', '8', '0']; ['0', '2', '3', '1', '4', '0']; 2; 0; 2; 4; 2
E°7; ['x', 'x', '2', '3', '2', '3']; ['0', '0', '1', '3', '2', '4']; 2; 0; 1; 3; 1
E°7; ['x', '7', '8', '6', '8', 'x']; ['0', '2', '3', '1', '4', '0']; 2; 0; 2; 4; 2
E°7; ['12', 'x', '11', '12', '11', 'x']; ['3', '0', '1', '4', '2', '0']; 2; 0; 1; 6; 3
E+7; ['x', '7', '10', '7', '9', '8']; ['0', '1', '4', '1', '3', '2']; 1; 1; 3; 2; 4
E+7; ['12', 'x', '12', '13', '13', 'x']; ['1', '0', '2', '3', '4', '0']; 2; 0; 1; 3; 2
E+7; ['x', 'x', '2', '5', '3', '4']; ['0', '0', '1', '4', '2', '3']; 1; 0; 3; 1; 3
E+7; ['x', '7', 'x', '7', '9', '8']; ['0', '1', '0', '2', '4', '3']; 2; 0; 2; 1; 2
EmMaj7; ['x', '7', '9', '8', '8', '7']; ['0', '1', '4', '2', '3', '1']; 2; 1; 2; 2; 4
EmMaj7; ['12', 'x', '13', '12', '12', 'x']; ['1', '0', '4', '2', '3', '0']; 3; 0; 1; 2; 4
EmMaj7; ['12', '14', '13', '12', '12', '12']; ['1', '3', '2', '1', '1', '1']; 1; 1; 2; 5; 0
EmMaj7; ['x', 'x', '2', '4', '4', '3']; ['0', '0', '1', '3', '4', '2']; 2; 0; 2; 3; 2
EmMaj7; ['x', 'x', '14', '12', '12', '11']; ['0', '0', '4', '2', '3', '1']; 2; 0; 3; 2; 4
Eadd9; ['0', '2', '4', '1', '0', '0']; ['0', '2', '4', '1', '0', '0']; 1; 0; 3; 0; 4
Eadd9; ['0', '2', '2', '1', '0', '2']; ['0', '2', '3', '1', '0', '4']; 3; 0; 1; 4; 1
